name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
13zai,Raven,48,9,32,0,7,7,3,144,29,112,0,3,3,3,19,18,0,0,0,1,0,2,0,0,1,0,0,0,0,0
1stNovember,Recruit,24,15,7,0,2,9,6,9,7,2,0,0,1,1,6,5,1,0,1,1,0,0,0,0,0,0,1,0,0,0
AUT0KRAT,NCO,119,20,90,1,8,10,35,30,6,22,1,1,3,3,8,13,1,2,3,2,6,5,7,0,2,1,2,0,0,0
AnomalyOfGaming,Roc,20,8,11,0,1,5,0,20,3,16,0,1,0,0,4,3,0,1,0,0,0,1,0,2,0,0,0,2,0,0
Aralos,Raven,57,20,33,1,3,14,3,71,28,36,3,4,1,1,6,11,0,0,0,0,0,5,0,0,1,0,1,0,0,0
Archaza,Raven,19,2,13,0,4,0,0,63,4,54,0,5,0,0,4,6,0,0,0,1,0,5,0,1,0,0,0,1,0,0
BingTR,Caladrius,88,28,55,2,3,29,0,52,16,34,0,2,0,0,6,4,0,3,2,0,0,2,0,5,3,0,2,5,0,0
BuggerRat,Caladrius,55,26,25,1,3,10,5,53,17,31,1,4,2,2,15,9,0,1,1,0,0,5,0,1,0,3,0,0,0,0
ClarenceZer0,Raven,3,2,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cross88,Raven,97,29,63,1,4,17,4,127,39,86,0,1,4,4,12,15,1,1,1,1,0,7,0,3,2,0,3,2,0,0
Daganru,Recruit,60,25,30,2,3,14,5,59,15,39,2,3,2,2,7,4,0,0,1,0,0,4,0,1,0,1,0,4,0,0
DeadWatcher,Raven,35,21,10,3,1,0,13,69,27,37,2,3,2,2,7,15,0,0,1,3,0,5,0,0,1,1,1,0,0,0
DraronFurien,Caladrius,83,24,53,2,4,17,27,83,27,48,2,5,1,1,16,13,0,0,1,1,0,8,0,2,3,0,1,2,0,0
EuropeanBOI,Caladrius,40,24,12,0,4,12,0,56,24,26,2,4,0,0,2,5,0,1,1,0,0,1,0,2,0,0,0,2,0,0
Ex0rious,Raven,4,0,4,0,0,0,0,10,0,9,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Furbish,Raven,117,44,70,0,3,38,5,107,35,68,0,4,1,1,22,19,0,1,1,1,1,8,1,8,0,0,3,18,0,0
George6408,NCO,349,112,225,6,6,132,2,188,59,117,7,5,1,1,24,22,1,11,8,0,56,23,1,4,4,0,5,4,0,0
GhostAA,Raven,153,53,85,8,7,29,27,129,41,79,4,4,3,3,20,23,1,3,3,3,0,10,1,6,2,0,3,6,0,0
GhostBounty,Raven,98,29,65,0,4,27,5,170,52,106,3,8,2,2,11,12,0,1,0,0,0,18,0,3,0,0,2,11,0,0
Groinface,Leader,62,20,32,3,7,17,11,54,14,39,0,1,0,0,6,10,1,1,0,5,0,7,1,1,0,0,0,1,0,0
Gumstitch,Recruit,20,11,9,0,0,3,0,71,30,38,0,3,0,0,6,8,1,0,0,1,0,5,0,2,0,0,0,1,0,0
GuraundGemu,Roc,93,29,55,1,8,17,9,30,13,13,0,4,0,0,8,9,0,5,1,6,35,4,1,0,3,0,0,0,0,0
HappySock13,Roc,28,16,12,0,0,10,2,41,23,16,2,0,3,3,10,8,0,0,0,0,0,3,0,4,0,0,1,7,0,0
Hulio1,NCO,140,22,113,0,5,24,29,109,20,85,1,3,3,3,26,17,0,3,4,3,2,7,8,4,1,0,2,3,0,0
Infiniteb1u3,Caladrius,184,74,97,4,9,8,64,113,34,75,1,3,3,3,17,15,1,1,5,5,0,1,5,0,2,0,1,0,0,0
JayPez,Caladrius,35,15,20,0,0,2,13,47,24,20,1,2,1,1,3,7,0,0,1,1,0,3,0,0,0,0,1,0,0,0
Jraddd,Caladrius,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JxKgoesTR,Caladrius,174,58,104,5,7,37,27,111,37,66,3,4,3,3,23,14,1,3,3,2,0,5,2,3,4,1,3,2,0,0
Khyross,Caladrius,1,0,1,0,0,0,0,6,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
KillerPoint,Recruit,7,0,6,0,1,1,0,17,2,13,0,2,0,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0
KuroRipper,Caladrius,58,27,30,0,1,22,1,38,18,19,0,1,0,0,2,13,0,1,1,0,0,3,0,0,1,2,2,0,0,0
Lash,Raven,75,32,37,2,4,30,1,67,27,35,1,4,3,3,6,11,0,1,0,0,0,2,0,2,0,0,2,1,0,0
LeghamTR,Raven,15,5,10,0,0,0,13,12,3,8,0,1,0,0,3,3,0,1,0,1,0,0,0,0,2,0,0,0,0,0
Lewison,Recruit,11,0,11,0,0,2,2,11,0,11,0,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libturd,Officer,58,21,33,0,4,26,20,85,20,61,0,4,0,0,8,6,0,0,0,2,11,4,8,0,4,0,1,0,0,0
MasterAsia,Raven,78,29,43,3,3,6,31,66,31,32,1,2,1,1,9,8,0,0,2,1,0,3,0,1,1,0,1,1,0,0
Megume,Raven,11,0,8,0,3,3,0,41,16,23,1,1,0,0,1,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Neejrow,Recruit,215,89,116,7,3,14,25,91,30,54,5,2,4,4,20,18,0,2,5,2,0,10,0,0,1,1,3,1,0,0
NoOne40,NCO,112,34,75,1,2,42,2,102,21,77,2,2,1,1,11,13,1,2,1,0,0,5,0,0,7,1,2,0,0,0
NobberNutz,Raven,7,7,0,0,0,1,2,34,19,1,12,2,2,2,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NvidiaGeforceGTX,Recruit,30,11,16,1,2,2,12,43,17,24,1,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Parademics,Raven,3,0,3,0,0,1,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PinkNewbie,Raven,70,33,36,0,1,15,15,118,50,63,3,2,5,5,12,17,0,1,0,0,0,9,0,0,1,1,0,0,0,0
PokemaniacMatt,NCO,29,8,18,2,1,5,14,86,19,65,1,1,2,2,11,11,1,0,0,0,0,5,0,7,2,0,0,3,0,0
RTilleryy,Raven,49,9,36,0,4,14,1,44,7,34,0,3,1,1,8,6,0,0,0,0,0,6,0,0,1,0,2,1,0,0
RagathTh3Knight,Caladrius,32,15,16,1,0,10,7,72,29,40,2,1,3,3,7,17,0,0,0,0,0,3,0,1,1,0,1,4,0,0
Ramshen,Raven,75,19,53,0,3,16,7,127,32,86,5,4,1,1,13,20,0,0,0,1,0,8,0,1,1,6,1,4,0,0
Raz3w1llTR,Raven,1,0,1,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RedWarp,Raven,17,6,11,0,0,5,0,27,16,10,0,1,0,0,3,4,1,0,0,0,0,4,0,2,0,1,1,2,0,0
ReiJagaimo,Recruit,12,3,7,0,2,2,2,32,8,22,0,2,0,0,6,7,0,0,0,1,0,3,0,1,0,0,1,0,0,0
Rocketdice,Raven,22,5,16,0,1,8,2,110,35,62,6,7,2,2,15,16,0,0,0,0,0,8,1,4,0,1,0,7,0,0
RustyBicycle,Raven,45,23,21,0,1,11,4,34,14,17,1,2,0,0,5,10,0,2,0,1,0,2,1,0,2,0,0,2,0,0
SBK21,Officer,177,69,93,4,11,40,13,153,48,102,1,2,2,2,16,22,0,3,0,2,0,15,3,3,5,3,2,7,0,0
STR1D3R,Raven,10,1,9,0,0,2,0,22,3,16,0,3,0,0,5,4,0,1,0,0,0,2,0,0,1,0,0,0,0,0
ShadouKujira109,NCO,40,16,22,0,2,0,30,11,7,4,0,0,0,0,6,1,0,0,0,3,0,0,5,0,0,0,1,0,0,0
SicaUnnie,Raven,48,3,42,0,3,7,4,118,18,90,2,7,0,0,8,11,0,0,0,1,2,2,0,5,4,3,1,5,0,0
SlaveFeat,Raven,126,35,86,2,3,27,15,128,35,84,2,7,5,5,15,20,1,1,1,1,0,12,0,1,1,0,1,0,0,0
Solauras,Raven,82,33,42,0,7,16,7,145,59,81,1,3,1,1,15,17,1,0,0,0,0,12,0,16,1,0,1,11,0,0
