name,rank,kills,vs_kills,nc_kills,nso_kills,teamkills,headshot_kills,vehicle_destroys,deaths,vs_deaths,nc_deaths,nso_deaths,teamdeaths,self_kills,self_deaths,facility_captures,facility_defends,marksman_ribbons,killstreak_ribbons,bountycontracts_ribbons,repair_ribbons,squadleadership_ribbons,pointcontrol_ribbons,piloting_ribbons,healing_ribbons,spotter_ribbons,objectivesupport_ribbons,savior_ribbons,reviving_ribbons,logistics_ribbons,resupply_ribbons
13zai,Raven,54,26,19,1,8,15,3,187,90,87,4,5,2,2,33,20,0,1,1,2,0,8,0,0,0,0,0,0,0,0
198destroyer,Caladrius,7,5,2,0,0,0,0,14,9,5,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7N39,Recruit,7,6,0,1,0,0,0,3,2,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AUT0KRAT,NCO,157,79,70,1,7,33,26,102,49,45,1,6,2,2,25,21,2,4,3,1,2,16,1,0,1,0,3,0,0,0
AcerbicMaelin,Raven,30,8,22,0,0,13,3,52,15,34,1,1,0,0,10,6,0,1,0,0,0,8,0,3,0,0,0,1,0,0
AgentDJJ,Recruit,24,7,13,0,4,4,0,76,27,42,0,6,0,0,10,9,0,0,0,0,0,6,0,4,0,0,0,2,0,0
Aralos,Raven,56,14,37,0,5,10,5,93,26,62,1,4,5,5,11,8,1,0,0,0,0,6,0,7,2,0,1,7,0,0
Archaza,Raven,31,16,13,0,2,4,4,123,56,60,4,3,0,0,11,12,0,1,0,2,0,13,0,0,0,1,1,0,0,0
Assimir,Raven,13,2,9,0,2,1,6,48,20,24,1,2,0,0,7,9,0,0,0,2,0,4,0,0,0,0,1,0,0,0
BigSugarSouffle,Recruit,61,0,60,0,1,50,0,22,0,16,0,1,1,1,2,6,3,4,2,0,0,0,0,0,1,1,1,0,0,0
BingTR,Caladrius,66,51,12,1,2,17,0,43,31,9,0,3,0,0,6,6,1,3,1,0,0,4,0,2,2,0,2,2,0,0
BishopTW,Raven,64,17,44,0,3,8,4,79,17,59,0,1,0,0,25,14,1,1,0,1,0,4,0,1,1,1,2,0,0,0
BuggerRat,Caladrius,52,20,28,2,2,10,5,74,32,34,1,7,0,0,19,14,1,0,0,2,0,5,0,1,2,4,1,0,0,0
ClarenceZer0,Raven,87,50,33,0,4,15,5,75,50,18,5,2,2,2,14,7,0,2,1,0,0,8,0,0,2,2,3,0,0,0
ColonelLutalo,Recruit,260,142,115,1,2,48,11,238,118,102,1,17,3,3,23,10,0,5,3,0,0,9,0,0,3,1,4,0,0,0
Cross88,Raven,185,89,83,2,11,31,19,282,113,151,2,14,4,4,31,30,1,3,1,0,0,20,0,1,0,0,5,1,0,0
DeadWatcher,Raven,20,8,10,0,2,1,12,60,31,22,3,3,4,4,7,11,1,0,0,0,0,3,0,0,0,1,0,0,0,0
DraronFurien,Caladrius,87,32,46,1,8,32,9,130,60,64,3,2,5,5,22,13,0,0,0,0,0,13,0,0,0,0,2,0,0,0
EguiasMY,Recruit,30,12,16,0,2,2,8,72,36,31,2,2,0,0,12,5,1,0,0,1,0,2,0,2,0,2,0,1,0,0
Ex0rious,Raven,20,8,2,0,10,0,1,39,12,23,0,4,2,2,7,3,0,0,0,0,0,2,0,1,0,0,0,1,0,0
